genes	mim	ncbigene	hgnc.symbol	ensembl	mgi
A4GALT	111400;607922	53947	A4GALT	ENSG00000128274	MGI:3512453
AARS1	601065;613287;601065;616339;601065;619661;601065;619691	16	AARS1	ENSG00000090861	MGI:2384560
AASDHPPT	607756	60496	AASDHPPT	ENSG00000149313	MGI:1914868
ABCA1	205400;600046;600046;604091	19	ABCA1	ENSG00000165029	MGI:99607
ABCB1	120080;171050;171050;612244	5243	ABCB1	ENSG00000085563	MGI:97568;MGI:97570
ABCB4	171060;600803;171060;602347;171060;614972	5244	ABCB4	ENSG00000005471	MGI:97569
ABCB6	111600;605452;605452;609153;605452;614497;605452;615402	10058	ABCB6	ENSG00000115657	MGI:1921354
ABCC1	158343;618915	4363	ABCC1	ENSG00000103222	MGI:102676
ABCC4	605250	10257	ABCC4	ENSG00000125257	MGI:2443111
ABCC5	605251	10057	ABCC5	ENSG00000114770	MGI:1351644
ABCG2	138900;603756;603756;614490	9429	ABCG2	ENSG00000118777	MGI:1347061;MGI:1351624
ACAT2	100678;614055	39	ACAT2	ENSG00000120437	MGI:109182;MGI:87871
ACER2	613492	340485	ACER2	ENSG00000177076	MGI:1920932
ACHE	100740;112100	43	ACHE	ENSG00000087085	MGI:87876
ACLY	108728	47	ACLY	ENSG00000131473	MGI:103251
ACO1	100880	48	ACO1	ENSG00000122729	MGI:87879
ACOT7	602587	11332	ACOT7	ENSG00000097021	MGI:1917275
ACSL1	152425	2180	ACSL1	ENSG00000151726	MGI:102797
ACSL3	602371	2181	ACSL3	ENSG00000123983	MGI:1921455
ACSL4	300157;300387	2182	ACSL4	ENSG00000068366	MGI:1354713
ACSL6	604443	23305	ACSL6	ENSG00000164398	MGI:894291
ACSS2	605832	55902	ACSS2	ENSG00000131069	MGI:1890410
ACY1	104620;609924	95	ACY1	ENSG00000243989	MGI:87913
ACYP1	600875	97	ACYP1	ENSG00000119640	MGI:1913454
ACYP2	102595	98	ACYP2	ENSG00000170634	MGI:1922822
ADA	102700;608958	100	ADA	ENSG00000196839	MGI:87916
ADCY10	143870;605205	55811	ADCY10	ENSG00000143199	MGI:2660854
ADCY2	103071	108	ADCY2	ENSG00000078295	MGI:99676
ADH5	103710;619151	128	ADH5	ENSG00000197894	MGI:87929
ADI1	613400	55256	ADI1	ENSG00000182551	MGI:2144929
ADK	102750;614300	132	ADK	ENSG00000156110	MGI:87930
ADPGK	611861	83440	ADPGK	ENSG00000159322	MGI:1919391
ADSL	103050;608222	158	ADSL	ENSG00000239900	MGI:103202
ADSS2	103060	159	ADSS2	ENSG00000035687	MGI:87948
AGL	232400;610860	178	AGL	ENSG00000162688	MGI:1924809
AGPAT1	603099	10554	AGPAT1	ENSG00000204310	MGI:1932075
AGPAT3	614794	56894	AGPAT3	ENSG00000160216	MGI:1336186
AGPAT4	614795	56895	AGPAT4	ENSG00000026652	MGI:1915512
AHCY	180960;613752	191	AHCY	ENSG00000101444	MGI:3643647;MGI:87968
AK1	103000;612631	203	AK1	ENSG00000106992	MGI:87977
AKR1A1	103830	10327	AKR1A1	ENSG00000117448	MGI:1929955
AKR1B1	103880	231	AKR1B1	ENSG00000085662	MGI:1353494
AKR1C3	603966	8644	AKR1C3	ENSG00000196139	MGI:1918111;MGI:1933427;MGI:2145420;MGI:2145458;MGI:2151104
AKR7A2	603418	8574	AKR7A2	ENSG00000053371	MGI:107796
ALAD	125270;612740	210	ALAD	ENSG00000148218	MGI:96853
ALDH1A1	100640	216	ALDH1A1	ENSG00000165092	MGI:1347050;MGI:1353450
ALDH3A1	100660	218	ALDH3A1	ENSG00000108602	MGI:1353451
ALDH3A2	270200;609523	224	ALDH3A2	ENSG00000072210	MGI:1353452
ALDH3B1	600466	221	ALDH3B1	ENSG00000006534	MGI:1914939
ALDH9A1	602733	223	ALDH9A1	ENSG00000143149	MGI:1861622
ALDOA	103850;611881	226	ALDOA	ENSG00000149925	MGI:87994
ALDOB	229600;612724	229	ALDOB	ENSG00000136872	MGI:87995
ALDOC	103870	230	ALDOC	ENSG00000109107	MGI:101863
ALPL	146300;171760;171760;241500;171760;241510	249	ALPL	ENSG00000162551	MGI:87983
AMPD3	102772;612874	272	AMPD3	ENSG00000133805	MGI:1096344
ANPEP	151530	290	ANPEP	ENSG00000166825	MGI:5000466
APIP	612491	51074	APIP	ENSG00000149089	MGI:1926788
APRT	102600;614723	353	APRT	ENSG00000198931	MGI:88061
